Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type,Per_Sqft,Locality
2160,4,4,Furnished,1,21000000,Ready_to_move,New_Property,Builder_Floor,9722,Rohini Sector 19
1500,1,,Unfurnished,,13500000,Ready_to_move,Resale,Apartment,,Lajpat Nagar 2
800,2,2,Unfurnished,1,15000000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 1
900,2,2,Unfurnished,1,10500000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar
1080,3,2,Semi-Furnished,1,22500000,Ready_to_move,New_Property,Builder_Floor,,"Vikram Vihar, Lajpat Nagar"
750,2,2,Unfurnished,1,13600000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 4
1450,3,3,Semi-Furnished,2,30000000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 3
900,2,2,Semi-Furnished,1,13500000,Ready_to_move,New_Property,Apartment,,Lajpat Nagar
810,2,2,Semi-Furnished,1,8910000,Ready_to_move,Resale,Builder_Floor,,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank"
1350,3,4,Unfurnished,1,25000000,Ready_to_move,Resale,Apartment,,Lajpat Nagar
1710,3,3,Semi-Furnished,4,26000000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 2
1650,3,3,Semi-Furnished,1,30000000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar
1280,2,2,Furnished,1,12500000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar
1260,3,3,Semi-Furnished,1,21000000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 3
1130,2,2,Unfurnished,1,7800000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 4
600,2,2,Semi-Furnished,1,11500000,Ready_to_move,New_Property,Builder_Floor,,"Amar Colony, Lajpat Nagar"
850,2,2,Semi-Furnished,1,11500000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 1
1500,3,3,Semi-Furnished,2,26000000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 2
900,2,2,Semi-Furnished,2,13000000,Ready_to_move,New_Property,Builder_Floor,14444,"Amar Colony, Lajpat Nagar"
1000,3,3,Semi-Furnished,1,22000000,Ready_to_move,New_Property,Builder_Floor,22000,"Vikram Vihar, Lajpat Nagar"
900,2,2,Semi-Furnished,1,15800000,Ready_to_move,New_Property,Builder_Floor,22000,Lajpat Nagar 2
2925,4,4,Unfurnished,2,57500000,Ready_to_move,New_Property,Builder_Floor,22000,Lajpat Nagar 3
900,2,2,Unfurnished,2,10000000,Ready_to_move,Resale,Builder_Floor,22000,Lajpat Nagar 1
1600,3,3,Unfurnished,2,30000000,Ready_to_move,New_Property,Builder_Floor,22000,Lajpat Nagar 3
1143,3,3,Unfurnished,2,22000000,Ready_to_move,New_Property,Builder_Floor,22000,"Vikram Vihar, Lajpat Nagar"
1150,3,3,Semi-Furnished,2,24000000,Ready_to_move,New_Property,Builder_Floor,22000,"Vikram Vihar, Lajpat Nagar"
1500,3,3,Semi-Furnished,1,31500000,Ready_to_move,Resale,Builder_Floor,22000,Lajpat Nagar 3
850,2,2,Semi-Furnished,1,14600000,Ready_to_move,Resale,Builder_Floor,22000,Lajpat Nagar 2
8000,4,5,Semi-Furnished,1,240000000,Ready_to_move,New_Property,Builder_Floor,22000,Lajpat Nagar
890,2,2,Semi-Furnished,1,8300000,Ready_to_move,Resale,Builder_Floor,22000,Lajpat Nagar 1
1100,3,3,Unfurnished,1,22500000,Ready_to_move,New_Property,Builder_Floor,22000,"Vikram Vihar, Lajpat Nagar"
750,1,1,Furnished,2,4600000,Ready_to_move,Resale,Apartment,,"DDA Flats Sector 14, Dwarka Sector 14"
850,2,1,Semi-Furnished,2,1900000,Ready_to_move,New_Property,Apartment,2235,"Siddhartha Heights, Dwarka Sector 24"
1350,3,2,Unfurnished,1,5130000,Ready_to_move,New_Property,Apartment,3800,"MTNL Employees House Welfare Society, Dwarka Sector 24"
1387,4,4,Unfurnished,1,5890000,Ready_to_move,New_Property,Apartment,4247,"Delhi Homes Yojana, Dwarka Sector 24"
1050,3,2,Unfurnished,1,3700000,Ready_to_move,New_Property,Apartment,3524,"The Elite Spire, Dwarka Sector 21"
1500,3,2,Unfurnished,1,17400000,Ready_to_move,Resale,Apartment,3524,"Kunj Vihar Apartment, Dwarka Sector 12"
1200,3,3,Semi-Furnished,1,15500000,Ready_to_move,Resale,Apartment,3524,"Ashirwad Apartments, Dwarka Sector 12"
700,2,1,Semi-Furnished,1,2400000,Almost_ready,New_Property,Apartment,3524,"MTNL Employees House Welfare Society, Dwarka Sector 24"
1700,3,2,Semi-Furnished,1,17200000,Ready_to_move,Resale,Apartment,3524,"Sunny Valley Apartments, Dwarka"
1550,3,2,Furnished,2,14200000,Ready_to_move,Resale,Apartment,3524,"Shri Agrasen Apartment, Dwarka Sector 7"
1400,3,3,Semi-Furnished,1,13500000,Ready_to_move,Resale,Apartment,3524,"Chopra Apartment, Dwarka Sector 23"
1900,4,4,Semi-Furnished,1,30000000,Ready_to_move,Resale,Apartment,3524,"Mohinder Apartments, Dwarka Sector 12"
2160,4,3,Unfurnished,1,21000000,Ready_to_move,Resale,Apartment,3524,"Chander Lok Apartment, Dwarka Sector 19"
1700,4,3,Unfurnished,1,20500000,Ready_to_move,Resale,Apartment,3524,"Neelachal, Dwarka Sector 5"
1850,3,4,Semi-Furnished,1,24000000,Ready_to_move,Resale,Apartment,3524,Dwarka
1800,4,2,Semi-Furnished,1,16500000,Ready_to_move,Resale,Apartment,3524,"MeeraBai Apartment, Dwarka Sector 5"
1620,3,2,Semi-Furnished,1,14900000,Ready_to_move,Resale,Apartment,3524,"Crescent Apartments, Dwarka Sector 18"
1800,4,3,Furnished,1,19200000,Ready_to_move,Resale,Apartment,3524,"Ashoka Enclave Apartment, Dwarka Sector 11"
1540,3,3,Semi-Furnished,1,14500000,Ready_to_move,Resale,Apartment,3524,"Nav Kairali Apartment, Dwarka Sector 3"
1600,3,3,Semi-Furnished,1,15600000,Ready_to_move,Resale,Apartment,3524,"Ashirwad Apartments, Dwarka"
1400,3,2,Unfurnished,1,11400000,Ready_to_move,Resale,Apartment,3524,"Indraprastha Apartment, Dwarka Sector 12"
2300,4,4,Furnished,1,31500000,Ready_to_move,Resale,Apartment,3524,"Mohinder Apartments, Dwarka"
1560,3,2,Furnished,2,15800000,Ready_to_move,Resale,Apartment,3524,"Ashoka Apartments, Dwarka Sector 12"
1500,3,3,Semi-Furnished,2,16000000,Ready_to_move,Resale,Apartment,3524,"Karuna Vihar Apartment, Dwarka"
1540,3,3,Semi-Furnished,1,14500000,Ready_to_move,Resale,Apartment,3524,"Nav Kairali Apartment, Dwarka Sector 3"
1050,2,2,Unfurnished,1,10500000,Ready_to_move,Resale,Apartment,3524,"LNT Apartments, Dwarka"
1800,3,2,Semi-Furnished,1,14800000,Ready_to_move,Resale,Apartment,3524,Dwarka Sector 4
400,1,1,Semi-Furnished,1,1850000,Ready_to_move,New_Property,Builder_Floor,3524,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served"
1150,3,2,Semi-Furnished,1,6800000,Ready_to_move,New_Property,Builder_Floor,3524,Dwarka Sector 16B
1525,3,3,Semi-Furnished,1,14200000,Ready_to_move,Resale,Apartment,3524,"Chopra Apartment, Dwarka Sector 23"
900,1,1,Semi-Furnished,,8900000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 3
1450,3,3,Semi-Furnished,2,37500000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 3
1450,3,3,Semi-Furnished,2,30000000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 3
1260,3,3,Semi-Furnished,2,21000000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 3
2925,4,4,Unfurnished,2,57500000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 3
1710,3,3,Semi-Furnished,1,30000000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 3
1600,3,3,Unfurnished,1,30000000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 3
1500,3,3,Semi-Furnished,1,31500000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 3
2200,3,3,Unfurnished,1,30000000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 3
1350,3,3,Unfurnished,1,41500000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 3
1710,3,3,Semi-Furnished,1,24800000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 3
1350,3,3,Semi-Furnished,2,35000000,Ready_to_move,Resale,Builder_Floor,,Lajpat Nagar 3
1500,3,3,Semi-Furnished,1,40000000,Ready_to_move,Resale,Builder_Floor,26666,Lajpat Nagar 3
2880,4,5,Unfurnished,1,46000000,Ready_to_move,New_Property,Builder_Floor,15972,Lajpat Nagar 3
2700,4,4,Semi-Furnished,2,55000000,Ready_to_move,Resale,Builder_Floor,183333,Lajpat Nagar 3
1400,3,3,Unfurnished,1,24500000,Ready_to_move,Resale,Builder_Floor,183333,Lajpat Nagar 3
1800,3,3,Unfurnished,1,24500000,Ready_to_move,Resale,Apartment,183333,Lajpat Nagar 3
1400,3,3,Semi-Furnished,1,32500000,Ready_to_move,New_Property,Builder_Floor,183333,Lajpat Nagar 3
1000,2,2,Furnished,1,20000000,Ready_to_move,Resale,Apartment,20000,Lajpat Nagar 3
8000,4,5,Semi-Furnished,1,240000000,Ready_to_move,New_Property,Builder_Floor,20000,Lajpat Nagar
1000,2,2,Furnished,1,20000000,Ready_to_move,Resale,Apartment,20000,Lajpat Nagar 3
1700,3,3,Furnished,2,19000000,Ready_to_move,Resale,Builder_Floor,20000,Lajpat Nagar 3
1600,3,3,Unfurnished,2,26000000,Ready_to_move,Resale,Builder_Floor,20000,Lajpat Nagar 3
1350,3,3,Unfurnished,1,21000000,Ready_to_move,Resale,Builder_Floor,15556,Lajpat Nagar 3
1700,3,3,Semi-Furnished,1,27500000,Ready_to_move,Resale,Builder_Floor,16176,Lajpat Nagar 3
1400,3,3,Semi-Furnished,2,32500000,Ready_to_move,New_Property,Builder_Floor,16176,Lajpat Nagar 3
1450,3,3,Semi-Furnished,1,45000000,Ready_to_move,New_Property,Builder_Floor,16176,Lajpat Nagar 3
1350,3,3,Semi-Furnished,1,21000000,Ready_to_move,Resale,Builder_Floor,15556,Lajpat Nagar 3
1700,3,3,Unfurnished,1,28000000,Ready_to_move,Resale,Builder_Floor,15556,Lajpat Nagar 3
1600,3,3,Unfurnished,2,29500000,Ready_to_move,Resale,Builder_Floor,15556,Lajpat Nagar 3
1500,1,,Unfurnished,,13500000,Ready_to_move,Resale,Apartment,,Lajpat Nagar 2
800,2,2,Unfurnished,1,14000000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 2
1710,3,3,Semi-Furnished,4,26000000,Ready_to_move,New_Property,Builder_Floor,,Lajpat Nagar 2
1350,2,2,Furnished,4,12500000,Ready_to_move,Resale,Builder_Floor,9259,Lajpat Nagar 2
1500,3,3,Semi-Furnished,2,26000000,Ready_to_move,New_Property,Builder_Floor,9259,Lajpat Nagar 2
750,2,2,Semi-Furnished,2,11500000,Ready_to_move,New_Property,Builder_Floor,9259,"Vinoba Puri, Lajpat Nagar"
850,2,2,Semi-Furnished,2,14600000,Ready_to_move,Resale,Builder_Floor,9259,Lajpat Nagar 2
1575,3,3,Semi-Furnished,1,25500000,Ready_to_move,New_Property,Builder_Floor,9259,Lajpat Nagar 2
1675,3,3,Semi-Furnished,2,31000000,Ready_to_move,New_Property,Builder_Floor,18507,Lajpat Nagar 2
1350,3,3,Semi-Furnished,2,22000000,Ready_to_move,Resale,Builder_Floor,18507,Lajpat Nagar 2
900,2,2,Semi-Furnished,2,13400000,Ready_to_move,New_Property,Builder_Floor,18507,Lajpat Nagar 2
1800,3,3,Semi-Furnished,2,35000000,Almost_ready,New_Property,Builder_Floor,18507,Lajpat Nagar 2
900,2,2,Furnished,2,11000000,Ready_to_move,Resale,Builder_Floor,18507,Lajpat Nagar 2
900,2,2,Unfurnished,2,6300000,Ready_to_move,Resale,Builder_Floor,7000,"Vinoba Puri, Lajpat Nagar"
900,2,2,Furnished,2,12500000,Ready_to_move,Resale,Builder_Floor,7000,Lajpat Nagar 2
800,2,2,Unfurnished,1,14500000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
1100,2,3,Semi-Furnished,1,22500000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
810,2,2,Semi-Furnished,1,15500000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
1500,3,3,Semi-Furnished,1,26000000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
900,2,2,Semi-Furnished,1,15800000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
825,2,2,Unfurnished,1,15000000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
900,2,2,Unfurnished,1,13000000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
875,2,2,Unfurnished,1,15000000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
1350,3,3,Semi-Furnished,1,25000000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
750,2,2,Semi-Furnished,1,16500000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
900,2,2,Unfurnished,1,10300000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
1350,3,3,Semi-Furnished,1,26000000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
900,2,2,Unfurnished,1,11000000,Ready_to_move,Resale,Builder_Floor,7000,Lajpat Nagar 2
1800,3,3,Unfurnished,1,28500000,Ready_to_move,New_Property,Builder_Floor,7000,Lajpat Nagar 2
900,2,2,Unfurnished,1,11000000,Ready_to_move,Resale,Builder_Floor,7000,Lajpat Nagar 2
900,2,1,Furnished,1,11000000,Ready_to_move,Resale,Apartment,,Budh Vihar
810,3,2,Semi-Furnished,1,4500000,Ready_to_move,Resale,Builder_Floor,,Budh Vihar
450,2,1,Unfurnished,1,3600000,Ready_to_move,Resale,Builder_Floor,72000,"Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served"
100,3,2,Furnished,1,4300000,Ready_to_move,New_Property,Builder_Floor,43000,Budh Vihar Phase 1
900,3,2,Semi-Furnished,1,4000000,Ready_to_move,Resale,Builder_Floor,4444,Budh Vihar
500,2,2,Semi-Furnished,1,1650000,Ready_to_move,Resale,Apartment,3300,Budh Vihar Phase 1
450,1,1,Furnished,1,2000000,Ready_to_move,Resale,Builder_Floor,4444,Budh Vihar
75,2,2,Semi-Furnished,1,3000000,Ready_to_move,Resale,Builder_Floor,40000,Budh Vihar
270,2,1,Semi-Furnished,1,1400000,Ready_to_move,Resale,Apartment,5185,Budh Vihar Phase 1
500,2,1,Semi-Furnished,1,2000000,Ready_to_move,Resale,Builder_Floor,4000,Budh Vihar Phase 1
444,2,2,Unfurnished,1,2000000,Ready_to_move,Resale,Apartment,4000,Budh Vihar Phase 1
400,1,1,Furnished,1,2000000,Ready_to_move,Resale,Builder_Floor,4000,Budh Vihar
729,3,4,Furnished,1,2600000,Ready_to_move,Resale,Builder_Floor,3567,Budh Vihar
4050,6,3,Furnished,1,5100000,Ready_to_move,Resale,Builder_Floor,1259,Budh Vihar Phase 1
2400,6,4,Furnished,1,6000000,Ready_to_move,Resale,Builder_Floor,2500,Budh Vihar Phase 2
450,2,2,Furnished,1,4000000,Ready_to_move,Resale,Builder_Floor,2500,Budh Vihar
405,2,3,Furnished,1,6200000,Ready_to_move,Resale,Builder_Floor,2500,Budh Vihar Phase 2
666,1,2,Furnished,1,3500000,Ready_to_move,Resale,Builder_Floor,5255,Budh Vihar Phase 1
1000,2,2,Semi-Furnished,1,7600000,Ready_to_move,Resale,Apartment,5255,"Saptrishi Apartment, Rohini Sector 23"
1360,4,3,Semi-Furnished,1,13500000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 24
1550,4,3,Semi-Furnished,1,12500000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 24
850,3,2,Semi-Furnished,1,6500000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 23
2170,4,4,Unfurnished,2,22000000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 23
720,3,2,Semi-Furnished,1,6000000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 23
850,3,2,Semi-Furnished,1,7300000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 23
950,3,2,Semi-Furnished,1,7600000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 23
2300,4,4,Semi-Furnished,1,20000000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 23
1300,4,4,Semi-Furnished,1,15000000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 22
1100,3,2,Semi-Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 20
1030,3,2,Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor,5255,Rohini Sector 20
350,1,1,Semi-Furnished,1,2300000,Ready_to_move,New_Property,Builder_Floor,,"Rohini ( 1 km from Shahbad Dairy, Rohini)"
750,2,2,Semi-Furnished,1,5000000,Ready_to_move,New_Property,Apartment,6667,"J R Designers Floors, Rohini Sector 24"
720,2,2,Semi-Furnished,1,4700000,Ready_to_move,New_Property,Apartment,6528,"J R Designers Floors, Rohini Sector 24"
800,2,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Apartment,6875,"J R Designers Floors, Rohini Sector 24"
350,1,1,Semi-Furnished,1,2000000,Ready_to_move,New_Property,Apartment,5714,"J R Designers Floors, Rohini Sector 24"
980,3,2,Semi-Furnished,1,7300000,Ready_to_move,New_Property,Apartment,7449,"J R Designers Floors, Rohini Sector 24"
1600,4,3,Semi-Furnished,1,13000000,Ready_to_move,New_Property,Apartment,8125,"J R Designers Floors, Rohini Sector 24"
1450,3,3,Semi-Furnished,1,11500000,Ready_to_move,New_Property,Apartment,7931,"J R Designers Floors, Rohini Sector 24"
445,2,2,Semi-Furnished,1,2800000,Ready_to_move,New_Property,Apartment,7931,"J R Designers Floors, Rohini Sector 24"
380,1,1,Semi-Furnished,1,2200000,Ready_to_move,New_Property,Apartment,5789,"J R Designers Floors, Rohini Sector 24"
680,2,2,Semi-Furnished,1,4400000,Ready_to_move,New_Property,Apartment,6471,"J R Designers Floors, Rohini Sector 24"
1600,3,3,Semi-Furnished,1,13500000,Ready_to_move,New_Property,Apartment,8438,"J R Designers Floors, Rohini Sector 24"
630,2,2,Semi-Furnished,1,4100000,Ready_to_move,New_Property,Apartment,6508,"J R Designers Floors, Rohini Sector 24"
1500,3,2,Semi-Furnished,1,12000000,Ready_to_move,New_Property,Apartment,8000,"J R Designers Floors, Rohini Sector 24"
550,2,2,Semi-Furnished,1,3500000,Ready_to_move,New_Property,Apartment,6364,"J R Designers Floors, Rohini Sector 24"
2500,4,3,Semi-Furnished,1,15000000,Ready_to_move,New_Property,Apartment,6000,"J R Designers Floors, Rohini Sector 24"
2800,5,4,Semi-Furnished,1,17500000,Ready_to_move,New_Property,Apartment,6250,"J R Designers Floors, Rohini Sector 24"
300,1,1,Semi-Furnished,1,1900000,Ready_to_move,New_Property,Apartment,6333,"J R Designers Floors, Rohini Sector 24"
800,3,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Apartment,6875,"J R Designers Floors, Rohini Sector 24"
1295,3,2,Semi-Furnished,1,10000000,Ready_to_move,New_Property,Apartment,6875,"J R Designers Floors, Rohini Sector 24"
700,3,2,Semi-Furnished,1,4700000,Ready_to_move,New_Property,Apartment,6714,"J R Designers Floors, Rohini Sector 24"
350,1,1,Semi-Furnished,1,2400000,Ready_to_move,New_Property,Builder_Floor,6714,"J R Designers Floors, Rohini Sector 24"
450,2,2,Semi-Furnished,1,3800000,Ready_to_move,New_Property,Builder_Floor,6714,"J R Designers Floors, Rohini Sector 24"
2200,4,4,Semi-Furnished,1,23000000,Ready_to_move,New_Property,Builder_Floor,6714,"J R Designers Floors, Rohini Sector 24"
2300,4,4,Semi-Furnished,1,24500000,Ready_to_move,New_Property,Builder_Floor,6714,"J R Designers Floors, Rohini Sector 24"
1150,3,2,Semi-Furnished,1,10000000,Ready_to_move,New_Property,Builder_Floor,6714,"J R Designers Floors, Rohini Sector 24"
800,3,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Builder_Floor,6714,"J R Designers Floors, Rohini Sector 24"
850,3,2,Semi-Furnished,1,7000000,Ready_to_move,New_Property,Builder_Floor,6714,"J R Designers Floors, Rohini Sector 24"
720,3,2,Semi-Furnished,1,6500000,Ready_to_move,New_Property,Builder_Floor,6714,"J R Designers Floors, Rohini Sector 24"
4688,5,4,Unfurnished,1,135000000,Almost_ready,New_Property,Apartment,28797,"The Leela Sky Villas, Patel Nagar"
750,2,2,Semi-Furnished,1,5000000,Ready_to_move,New_Property,Apartment,6667,"J R Designers Floors, Rohini Sector 24"
3901,4,4,Unfurnished,1,93000000,Almost_ready,New_Property,Apartment,23840,"The Leela Sky Villas, Patel Nagar"
950,3,2,Furnished,1,4370000,Ready_to_move,New_Property,Apartment,4600,"Uttam Nagar Floors, Uttam Nagar"
1000,3,2,Unfurnished,1,4620000,Ready_to_move,New_Property,Apartment,4620,"Virat Residency, Dwarka Mor"
